"SUMLEV","REGION","DIVISION","STATE","NAME","SEX","AGE","ESTBASE2010_CIV","POPEST2010_CIV","POPEST2011_CIV","POPEST2012_CIV","POPEST2013_CIV","POPEST2014_CIV"
40,4,9,2,Alaska,1,80 - 89,4280,4280,4553,4745,4926,5085
40,4,9,2,Alaska,1,999,350523,352527,359394,363379,366749,368225
40,4,9,2,Alaska,2,0 - 9,50949,51268,51744,51956,51900,51598
40,4,9,2,Alaska,2,10 - 19,49482,49467,48951,48269,47813,47133
40,4,9,2,Alaska,2,20 - 29,49094,49650,51634,52612,53147,53075
40,4,9,2,Alaska,2,30 - 39,44074,44263,44695,45485,46172,47024
40,4,9,2,Alaska,2,40 - 49,48514,48344,47475,46135,44172,42802
40,4,9,2,Alaska,2,50 - 59,50553,50746,51456,51502,50748,49705
40,4,9,2,Alaska,2,60 - 69,27195,27576,29440,31094,32398,33847
40,4,9,2,Alaska,2,70 - 79,11228,11299,11928,12566,13233,13801
40,4,9,2,Alaska,2,80 - 89,6416,6416,6807,7101,7334,7407
40,4,9,2,Alaska,2,999,337505,339093,344130,346720,346917,346392
40,4,8,4,Arizona,0,0 - 9,909395,908308,896092,894593,892619,892597
40,4,8,4,Arizona,0,10 - 19,909127,908212,903886,903228,905209,910898
40,4,8,4,Arizona,0,20 - 29,870362,874537,890055,904748,915195,930951
40,4,8,4,Arizona,0,30 - 39,826081,827087,827499,835117,844862,854710
40,4,8,4,Arizona,0,40 - 49,831296,832697,833921,832943,828212,826240
40,4,8,4,Arizona,0,50 - 59,790512,794976,810158,825208,836305,846898
40,4,8,4,Arizona,0,60 - 69,633854,639549,663888,686790,705794,730438
40,4,8,4,Arizona,0,70 - 79,377331,380350,394116,413345,438280,463338
40,4,8,4,Arizona,0,80 - 89,221828,221828,231923,240269,247994,255774
40,4,8,4,Arizona,0,999,6369786,6390079,6451538,6536241,6614470,6711844
40,4,8,4,Arizona,1,0 - 9,463808,463227,456891,456595,455377,455351
40,4,8,4,Arizona,1,10 - 19,465431,465004,462888,462164,462734,465424
40,4,8,4,Arizona,1,20 - 29,445036,447374,456852,465126,470617,479062
40,4,8,4,Arizona,1,30 - 39,417019,417699,418029,421789,426722,432203
40,4,8,4,Arizona,1,40 - 49,416201,417091,418009,417030,414460,413537
40,4,8,4,Arizona,1,50 - 59,380840,383177,391211,399193,405242,411139
40,4,8,4,Arizona,1,60 - 69,300580,303162,314067,324615,333049,344279
40,4,8,4,Arizona,1,70 - 79,178887,180265,186555,195269,206779,218125
40,4,8,4,Arizona,1,80 - 89,89346,89346,94934,99469,103821,108097
40,4,8,4,Arizona,1,999,3157148,3167668,3199436,3241250,3278801,3327217
40,4,8,4,Arizona,2,0 - 9,445587,445081,439201,437998,437242,437246
40,4,8,4,Arizona,2,10 - 19,443696,443208,440998,441064,442475,445474
40,4,8,4,Arizona,2,20 - 29,425326,427163,433203,439622,444578,451889
40,4,8,4,Arizona,2,30 - 39,409062,409388,409470,413328,418140,422507
40,4,8,4,Arizona,2,40 - 49,415095,415606,415912,415913,413752,412703
40,4,8,4,Arizona,2,50 - 59,409672,411799,418947,426015,431063,435759
40,4,8,4,Arizona,2,60 - 69,333274,336387,349821,362175,372745,386159
40,4,8,4,Arizona,2,70 - 79,198444,200085,207561,218076,231501,245213
40,4,8,4,Arizona,2,80 - 89,132482,132482,136989,140800,144173,147677
40,4,8,4,Arizona,2,999,3212638,3222411,3252102,3294991,3335669,3384627
40,3,7,5,Arkansas,0,0 - 9,394566,394256,393532,393696,392142,390504
40,3,7,5,Arkansas,0,10 - 19,401145,401448,397874,394599,393704,393137
40,3,7,5,Arkansas,0,20 - 29,388252,390258,395788,398272,399281,399517
40,3,7,5,Arkansas,0,30 - 39,365199,365740,366385,367325,369552,371636
40,3,7,5,Arkansas,0,40 - 49,386947,386601,383914,379262,372876,365742
40,3,7,5,Arkansas,0,50 - 59,385467,386959,391774,394826,397229,397962
40,3,7,5,Arkansas,0,60 - 69,300397,302023,309950,316460,321469,328313
40,3,7,5,Arkansas,0,70 - 79,178988,179779,183433,187816,194263,200014
40,3,7,5,Arkansas,0,80 - 89,107654,107654,109205,110486,111508,112772
40,3,7,5,Arkansas,0,999,2908615,2915132,2931855,2942742,2952024,2959597
40,3,7,5,Arkansas,1,0 - 9,201821,201555,200953,201295,200402,199398
40,3,7,5,Arkansas,1,10 - 19,204895,205191,203641,201866,201259,201158
40,3,7,5,Arkansas,1,20 - 29,193920,195000,198085,199464,200252,200705
40,3,7,5,Arkansas,1,30 - 39,181871,182133,182439,182978,184169,185219
40,3,7,5,Arkansas,1,40 - 49,191532,191393,190048,187561,184288,180908
40,3,7,5,Arkansas,1,50 - 59,187904,188607,191025,192394,193482,193931
40,3,7,5,Arkansas,1,60 - 69,143283,144061,147854,150789,152971,155981
40,3,7,5,Arkansas,1,70 - 79,81144,81538,83452,85729,88845,91625
40,3,7,5,Arkansas,1,80 - 89,38929,38929,39925,40805,41683,42583
40,3,7,5,Arkansas,1,999,1425299,1428624,1437422,1442881,1447351,1451508
40,3,7,5,Arkansas,2,0 - 9,192745,192701,192579,192401,191740,191106
40,3,7,5,Arkansas,2,10 - 19,196250,196257,194233,192733,192445,191979
40,3,7,5,Arkansas,2,20 - 29,194332,195258,197703,198808,199029,198812
40,3,7,5,Arkansas,2,30 - 39,183328,183607,183946,184347,185383,186417
40,3,7,5,Arkansas,2,40 - 49,195415,195208,193866,191701,188588,184834
40,3,7,5,Arkansas,2,50 - 59,197563,198352,200749,202432,203747,204031
40,3,7,5,Arkansas,2,60 - 69,157114,157962,162096,165671,168498,172332
40,3,7,5,Arkansas,2,70 - 79,97844,98241,99981,102087,105418,108389
40,3,7,5,Arkansas,2,80 - 89,68725,68725,69280,69681,69825,70189
40,3,7,5,Arkansas,2,999,1483316,1486508,1494433,1499861,1504673,1508089
40,4,9,6,California,0,0 - 9,5037173,5038063,5051149,5059344,5068273,5069597
40,4,9,6,California,0,10 - 19,5404649,5383457,5301215,5230881,5178890,5138937
40,4,9,6,California,0,20 - 29,5419838,5446014,5550113,5629529,5688527,5757584
40,4,9,6,California,0,30 - 39,5110348,5112756,5127206,5182977,5255533,5331232
40,4,9,6,California,0,40 - 49,5286224,5284244,5279560,5258438,5220859,5180916
40,4,9,6,California,0,50 - 59,4765368,4791554,4891836,4981106,5053521,5113012
40,4,9,6,California,0,60 - 69,3135763,3169242,3316717,3454540,3584188,3729317
40,4,9,6,California,0,70 - 79,1738837,1746995,1791554,1849075,1935785,2017154
40,4,9,6,California,0,80 - 89,1204343,1204343,1239554,1263877,1289751,1311686
40,4,9,6,California,0,999,37102543,37184921,37548904,37909767,38275327,38649435
40,4,9,6,California,1,0 - 9,2573619,2573841,2580514,2584678,2588865,2589095
40,4,9,6,California,1,10 - 19,2771831,2760296,2716383,2676424,2645962,2622981
40,4,9,6,California,1,20 - 29,2771276,2783615,2835960,2878420,2908681,2944691
40,4,9,6,California,1,30 - 39,2563436,2564335,2572704,2603564,2644452,2687026
40,4,9,6,California,1,40 - 49,2643932,2642518,2639115,2627709,2606855,2586433
40,4,9,6,California,1,50 - 59,2335269,2348421,2399321,2444948,2482874,2514718
40,4,9,6,California,1,60 - 69,1489386,1505231,1575410,1641165,1702245,1771095
40,4,9,6,California,1,70 - 79,780617,784669,805595,832351,872958,910687
40,4,9,6,California,1,80 - 89,456257,456257,474002,486774,499486,510842
40,4,9,6,California,1,999,18385623,18423153,18599004,18776033,18952378,19137568
40,4,9,6,California,2,0 - 9,2463554,2464222,2470635,2474666,2479408,2480502
40,4,9,6,California,2,10 - 19,2632818,2623161,2584832,2554457,2532928,2515956
40,4,9,6,California,2,20 - 29,2648562,2662399,2714153,2751109,2779846,2812893
40,4,9,6,California,2,30 - 39,2546912,2548421,2554502,2579413,2611081,2644206
40,4,9,6,California,2,40 - 49,2642292,2641726,2640445,2630729,2614004,2594483
40,4,9,6,California,2,50 - 59,2430099,2443133,2492515,2536158,2570647,2598294
40,4,9,6,California,2,60 - 69,1646377,1664011,1741307,1813375,1881943,1958222
40,4,9,6,California,2,70 - 79,958220,962326,985959,1016724,1062827,1106467
40,4,9,6,California,2,80 - 89,748086,748086,765552,777103,790265,800844
40,4,9,6,California,2,999,18716920,18761768,18949900,19133734,19322949,19511867
40,4,8,8,Colorado,0,0 - 9,692563,692454,692474,691717,690927,689922
40,4,8,8,Colorado,0,10 - 19,671125,673909,679419,682440,687902,695664
40,4,8,8,Colorado,0,20 - 29,706418,708259,720003,733104,747501,765266
40,4,8,8,Colorado,0,30 - 39,698697,699093,703585,714442,730518,747592
