Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio,,,,,,,,
Custom Region,Uruguay,2014,26,48963,24781,24182,1.5,1.5,1.4,102.5,,,,,,,,
Custom Region,Uruguay,2014,27,48155,24345,23810,1.4,1.5,1.4,102.2,,,,,,,,
Custom Region,Uruguay,2014,28,47766,24093,23673,1.4,1.5,1.4,101.8,,,,,,,,
Custom Region,Uruguay,2014,29,45335,22802,22533,1.4,1.4,1.3,101.2,,,,,,,,
Custom Region,Uruguay,2014,30,42018,20990,21028,1.3,1.3,1.2,99.8,,,,,,,,
Custom Region,Uruguay,2014,31,44221,22063,22158,1.3,1.4,1.3,99.6,,,,,,,,
Custom Region,Uruguay,2014,32,45541,22663,22878,1.4,1.4,1.3,99.1,,,,,,,,
Custom Region,Uruguay,2014,33,46244,22938,23306,1.4,1.4,1.4,98.4,,,,,,,,
Custom Region,Uruguay,2014,34,46498,22984,23514,1.4,1.4,1.4,97.7,,,,,,,,
Custom Region,Uruguay,2014,35,46470,22893,23577,1.4,1.4,1.4,97.1,,,,,,,,
Custom Region,Uruguay,2014,36,46199,22695,23504,1.4,1.4,1.4,96.6,,,,,,,,
Custom Region,Uruguay,2014,37,45798,22454,23344,1.4,1.4,1.4,96.2,,,,,,,,
Custom Region,Uruguay,2014,38,45328,22204,23124,1.4,1.4,1.3,96,,,,,,,,
Custom Region,Uruguay,2014,39,44738,21914,22824,1.3,1.4,1.3,96,,,,,,,,
Custom Region,Uruguay,2014,40,44134,21651,22483,1.3,1.3,1.3,96.3,,,,,,,,
Custom Region,Uruguay,2014,41,43450,21349,22101,1.3,1.3,1.3,96.6,,,,,,,,
Custom Region,Uruguay,2014,42,42623,20956,21667,1.3,1.3,1.3,96.7,,,,,,,,
Custom Region,Uruguay,2014,43,41682,20480,21202,1.3,1.3,1.2,96.6,,,,,,,,
Custom Region,Uruguay,2014,44,40705,19964,20741,1.2,1.2,1.2,96.3,,,,,,,,
Custom Region,Uruguay,2014,45,39633,19385,20248,1.2,1.2,1.2,95.7,,,,,,,,
Custom Region,Uruguay,2014,46,38695,18889,19806,1.2,1.2,1.1,95.4,,,,,,,,
Custom Region,Uruguay,2014,47,38215,18609,19606,1.1,1.2,1.1,94.9,,,,,,,,
Custom Region,Uruguay,2014,48,38367,18660,19707,1.2,1.2,1.1,94.7,,,,,,,,
Custom Region,Uruguay,2014,49,38914,18908,20006,1.2,1.2,1.2,94.5,,,,,,,,
Custom Region,Uruguay,2014,50,39512,19174,20338,1.2,1.2,1.2,94.3,,,,,,,,
Custom Region,Uruguay,2014,51,39850,19306,20544,1.2,1.2,1.2,94,,,,,,,,
Custom Region,Uruguay,2014,52,39912,19285,20627,1.2,1.2,1.2,93.5,,,,,,,,
Custom Region,Uruguay,2014,53,39568,19054,20514,1.2,1.2,1.2,92.9,,,,,,,,
Custom Region,Uruguay,2014,54,38898,18652,20246,1.2,1.2,1.2,92.1,,,,,,,,
Custom Region,Uruguay,2014,55,38161,18197,19964,1.1,1.1,1.2,91.1,,,,,,,,
Custom Region,Uruguay,2014,56,37423,17746,19677,1.1,1.1,1.1,90.2,,,,,,,,
Custom Region,Uruguay,2014,57,36507,17227,19280,1.1,1.1,1.1,89.4,,,,,,,,
Custom Region,Uruguay,2014,58,35439,16692,18747,1.1,1,1.1,89,,,,,,,,
Custom Region,Uruguay,2014,59,34276,16131,18145,1,1,1.1,88.9,,,,,,,,
Custom Region,Uruguay,2014,60,33038,15546,17492,1,1,1,88.9,,,,,,,,
Custom Region,Uruguay,2014,61,31849,14972,16877,1,0.9,1,88.7,,,,,,,,
Custom Region,Uruguay,2014,62,30772,14418,16354,0.9,0.9,0.9,88.2,,,,,,,,
Custom Region,Uruguay,2014,63,29852,13877,15975,0.9,0.9,0.9,86.9,,,,,,,,
Custom Region,Uruguay,2014,64,29047,13364,15683,0.9,0.8,0.9,85.2,,,,,,,,
Custom Region,Uruguay,2014,65,28235,12842,15393,0.8,0.8,0.9,83.4,,,,,,,,
Custom Region,Uruguay,2014,66,27393,12323,15070,0.8,0.8,0.9,81.8,,,,,,,,
Custom Region,Uruguay,2014,67,26545,11834,14711,0.8,0.7,0.9,80.4,,,,,,,,
Custom Region,Uruguay,2014,68,25687,11373,14314,0.8,0.7,0.8,79.5,,,,,,,,
Custom Region,Uruguay,2014,69,24828,10925,13903,0.7,0.7,0.8,78.6,,,,,,,,
Custom Region,Uruguay,2014,70,24010,10499,13511,0.7,0.7,0.8,77.7,,,,,,,,
Custom Region,Uruguay,2014,71,23214,10062,13152,0.7,0.6,0.8,76.5,,,,,,,,
Custom Region,Uruguay,2014,72,22393,9592,12801,0.7,0.6,0.7,74.9,,,,,,,,
Custom Region,Uruguay,2014,73,21542,9073,12469,0.6,0.6,0.7,72.8,,,,,,,,
Custom Region,Uruguay,2014,74,20639,8517,12122,0.6,0.5,0.7,70.3,,,,,,,,
Custom Region,Uruguay,2014,75,19712,7961,11751,0.6,0.5,0.7,67.7,,,,,,,,
Custom Region,Uruguay,2014,76,18797,7436,11361,0.6,0.5,0.7,65.5,,,,,,,,
Custom Region,Uruguay,2014,77,17961,6979,10982,0.5,0.4,0.6,63.5,,,,,,,,
Custom Region,Uruguay,2014,78,17248,6611,10637,0.5,0.4,0.6,62.2,,,,,,,,
Custom Region,Uruguay,2014,79,16572,6281,10291,0.5,0.4,0.6,61,,,,,,,,
Custom Region,Uruguay,2014,80,15835,5933,9902,0.5,0.4,0.6,59.9,,,,,,,,
Custom Region,Uruguay,2014,81,14983,5534,9449,0.4,0.3,0.5,58.6,,,,,,,,
Custom Region,Uruguay,2014,82,14002,5078,8924,0.4,0.3,0.5,56.9,,,,,,,,
Custom Region,Uruguay,2014,83,12880,4558,8322,0.4,0.3,0.5,54.8,,,,,,,,
Custom Region,Uruguay,2014,84,11677,4014,7663,0.4,0.2,0.4,52.4,,,,,,,,
Custom Region,Uruguay,2014,85-89,40266,12677,27589,1.2,0.8,1.6,45.9,,,,,,,,
Custom Region,Uruguay,2014,90-94,15672,4144,11528,0.5,0.3,0.7,35.9,,,,,,,,
Custom Region,Uruguay,2014,95-99,3781,786,2995,0.1,0,0.2,26.2,,,,,,,,
Custom Region,Uruguay,2014,100+,636,100,536,0,0,0,18.7,,,,,,,,
