Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio,,,,,,,,
Custom Region,Uruguay,2013,73,21370,8934,12436,0.6,0.6,0.7,71.8,,,,,,,,
Custom Region,Uruguay,2013,74,20451,8367,12084,0.6,0.5,0.7,69.2,,,,,,,,
Custom Region,Uruguay,2013,75,19550,7833,11717,0.6,0.5,0.7,66.9,,,,,,,,
Custom Region,Uruguay,2013,76,18755,7387,11368,0.6,0.5,0.7,65,,,,,,,,
Custom Region,Uruguay,2013,77,18095,7038,11057,0.5,0.4,0.6,63.7,,,,,,,,
Custom Region,Uruguay,2013,78,17483,6734,10749,0.5,0.4,0.6,62.6,,,,,,,,
Custom Region,Uruguay,2013,79,16814,6413,10401,0.5,0.4,0.6,61.7,,,,,,,,
Custom Region,Uruguay,2013,80,16017,6033,9984,0.5,0.4,0.6,60.4,,,,,,,,
Custom Region,Uruguay,2013,81,15074,5583,9491,0.5,0.3,0.6,58.8,,,,,,,,
Custom Region,Uruguay,2013,82,13973,5061,8912,0.4,0.3,0.5,56.8,,,,,,,,
Custom Region,Uruguay,2013,83,12772,4501,8271,0.4,0.3,0.5,54.4,,,,,,,,
Custom Region,Uruguay,2013,84,11524,3944,7580,0.3,0.2,0.4,52,,,,,,,,
Custom Region,Uruguay,2013,85-89,39238,12347,26891,1.2,0.8,1.6,45.9,,,,,,,,
Custom Region,Uruguay,2013,90-94,14904,3947,10957,0.4,0.2,0.6,36,,,,,,,,
Custom Region,Uruguay,2013,95-99,3593,747,2846,0.1,0,0.2,26.2,,,,,,,,
Custom Region,Uruguay,2013,100+,596,94,502,0,0,0,18.7,,,,,,,,
Custom Region,Uruguay,2014,999,3332972,1609739,1723233,100,100,100,93.4,,,0 - 9,,,,,450280
Custom Region,Uruguay,2014,0,43644,22194,21450,1.3,1.4,1.2,103.5,,,10 - 19,,,,,522748
Custom Region,Uruguay,2014,1,43800,22276,21524,1.3,1.4,1.2,103.5,,,20 - 29,,,,,501859
Custom Region,Uruguay,2014,2,44009,22387,21622,1.3,1.4,1.3,103.5,,,30 - 39,,,,,453055
Custom Region,Uruguay,2014,3,44221,22499,21722,1.3,1.4,1.3,103.6,,,40 - 49,,,,,406418
